timestamp,open,high,low,close
datetime,float,float,float,float
T,,,,
2007-02-07 20:00:00,120.66,120.68,120.59,120.61
2007-02-07 21:00:00,120.61,120.69,120.60,120.67
2007-02-07 22:00:00,120.66,120.67,120.59,120.59
2007-02-07 23:00:00,120.59,120.63,120.56,120.58
2007-02-08 00:00:00,120.58,120.67,120.57,120.64
2007-02-08 01:00:00,120.64,120.78,120.64,120.75
2007-02-08 02:00:00,120.75,120.87,120.74,120.87
2007-02-08 03:00:00,120.87,120.88,120.81,120.81
2007-02-08 04:00:00,120.82,120.83,120.73,120.79
2007-02-08 05:00:00,120.79,120.84,120.74,120.78
2007-02-08 06:00:00,120.79,121.11,120.73,121.09
2007-02-08 07:00:00,121.08,121.19,121.03,121.09
2007-02-08 08:00:00,121.10,121.23,121.10,121.19
2007-02-08 09:00:00,121.19,121.22,121.01,121.09
2007-02-08 10:00:00,121.09,121.23,121.09,121.20
2007-02-08 11:00:00,121.21,121.24,121.18,121.22
2007-02-08 12:00:00,121.22,121.42,121.22,121.37
2007-02-08 13:00:00,121.36,121.39,121.24,121.31
2007-02-08 14:00:00,121.32,121.32,121.16,121.26
2007-02-08 15:00:00,121.26,121.28,121.12,121.16
2007-02-08 16:00:00,121.15,121.23,121.07,121.20
2007-02-08 17:00:00,121.20,121.20,121.08,121.11
2007-02-08 18:00:00,121.11,121.16,121.09,121.10
2007-02-08 19:00:00,121.09,121.11,121.01,121.01
2007-02-08 20:00:00,121.01,121.07,121.00,121.06
2007-02-08 21:00:00,121.06,121.06,121.01,121.02
2007-02-08 22:00:00,121.02,121.09,120.97,121.09
2007-02-08 23:00:00,121.10,121.20,121.10,121.13
2007-02-09 00:00:00,121.13,121.20,121.04,121.20
2007-02-09 01:00:00,121.19,121.38,121.15,121.31
2007-02-09 02:00:00,121.31,121.32,121.28,121.31
2007-02-09 03:00:00,121.32,121.32,121.22,121.25
2007-02-09 04:00:00,121.25,121.32,121.22,121.32
2007-02-09 05:00:00,121.32,121.36,121.29,121.33
2007-02-09 06:00:00,121.34,121.39,121.29,121.37
2007-02-09 07:00:00,121.38,121.46,121.09,121.28
2007-02-09 08:00:00,121.29,121.44,121.21,121.40
2007-02-09 09:00:00,121.39,121.54,121.32,121.48
2007-02-09 10:00:00,121.48,121.54,121.43,121.49
2007-02-09 11:00:00,121.50,121.61,121.43,121.59
2007-02-09 12:00:00,121.59,121.59,121.45,121.45
2007-02-09 13:00:00,121.46,121.50,121.37,121.44
2007-02-09 14:00:00,121.44,121.64,121.44,121.61
2007-02-09 15:00:00,121.60,121.72,121.58,121.67
2007-02-09 16:00:00,121.67,121.69,121.56,121.59
2007-02-09 17:00:00,121.59,121.60,121.48,121.56
2007-02-09 18:00:00,121.56,121.67,121.53,121.59
2007-02-09 19:00:00,121.58,121.62,121.54,121.62
2007-02-09 20:00:00,121.61,121.65,121.61,121.64
2007-02-09 21:00:00,121.64,121.65,121.64,121.65
2007-02-11 23:00:00,122.04,122.04,121.83,121.84
2007-02-12 00:00:00,121.84,121.95,121.83,121.92
2007-02-12 01:00:00,121.92,121.94,121.86,121.92
2007-02-12 02:00:00,121.91,121.97,121.90,121.95
2007-02-12 03:00:00,121.95,121.98,121.92,121.93
2007-02-12 04:00:00,121.93,121.95,121.92,121.94
2007-02-12 05:00:00,121.95,121.97,121.88,121.88
2007-02-12 06:00:00,121.87,121.93,121.77,121.92
2007-02-12 07:00:00,121.92,121.95,121.82,121.86
2007-02-12 08:00:00,121.86,121.92,121.72,121.89
2007-02-12 09:00:00,121.90,122.02,121.87,122.00
2007-02-12 10:00:00,121.99,122.02,121.80,121.84
2007-02-12 11:00:00,121.85,121.99,121.84,121.95
2007-02-12 12:00:00,121.95,121.96,121.86,121.89
2007-02-12 13:00:00,121.89,121.90,121.56,121.61
2007-02-12 14:00:00,121.62,121.75,121.61,121.75
2007-02-12 15:00:00,121.74,121.83,121.72,121.81
2007-02-12 16:00:00,121.82,121.82,121.70,121.75
2007-02-12 17:00:00,121.76,121.76,121.71,121.73
2007-02-12 18:00:00,121.73,121.78,121.73,121.76
2007-02-12 19:00:00,121.75,121.90,121.73,121.86
2007-02-12 20:00:00,121.87,121.90,121.85,121.89
2007-02-12 21:00:00,121.90,121.93,121.88,121.92
2007-02-12 22:00:00,121.92,121.93,121.80,121.83
2007-02-12 23:00:00,121.83,121.83,121.74,121.75
2007-02-13 00:00:00,121.75,121.75,121.62,121.70
2007-02-13 01:00:00,121.69,121.73,121.48,121.48
2007-02-13 02:00:00,121.47,121.48,121.33,121.42
2007-02-13 03:00:00,121.42,121.44,121.39,121.42
2007-02-13 04:00:00,121.42,121.48,121.33,121.40
2007-02-13 05:00:00,121.40,121.43,121.36,121.39
2007-02-13 06:00:00,121.39,121.53,121.32,121.38
2007-02-13 07:00:00,121.39,121.47,121.31,121.42
2007-02-13 08:00:00,121.43,121.52,121.37,121.41
2007-02-13 09:00:00,121.40,121.50,121.33,121.37
2007-02-13 10:00:00,121.36,121.42,121.23,121.29
2007-02-13 11:00:00,121.29,121.36,121.25,121.32
2007-02-13 12:00:00,121.31,121.34,121.22,121.24
2007-02-13 13:00:00,121.24,121.31,121.08,121.18
2007-02-13 14:00:00,121.18,121.27,121.15,121.23
2007-02-13 15:00:00,121.23,121.39,121.23,121.28
2007-02-13 16:00:00,121.28,121.32,121.19,121.24
2007-02-13 17:00:00,121.23,121.27,121.19,121.24
2007-02-13 18:00:00,121.25,121.26,121.22,121.22
2007-02-13 19:00:00,121.22,121.27,121.17,121.18
2007-02-13 20:00:00,121.19,121.19,121.14,121.15
2007-02-13 21:00:00,121.16,121.17,121.10,121.14
2007-02-13 22:00:00,121.14,121.17,121.09,121.17
2007-02-13 23:00:00,121.17,121.29,121.17,121.25
2007-02-14 00:00:00,121.25,121.34,121.22,121.22
2007-02-14 01:00:00,121.21,121.22,121.03,121.10
2007-02-14 02:00:00,121.11,121.17,121.09,121.14
2007-02-14 03:00:00,121.14,121.24,121.10,121.22
2007-02-14 04:00:00,121.23,121.27,121.16,121.17
2007-02-14 05:00:00,121.17,121.31,121.17,121.28
2007-02-14 06:00:00,121.28,121.31,121.24,121.24
2007-02-14 07:00:00,121.23,121.26,121.06,121.19
2007-02-14 08:00:00,121.18,121.26,121.09,121.10
2007-02-14 09:00:00,121.11,121.11,120.85,121.04
2007-02-14 10:00:00,121.03,121.05,120.90,121.01
2007-02-14 11:00:00,121.02,121.12,120.98,121.06
2007-02-14 12:00:00,121.07,121.22,121.03,121.22
2007-02-14 13:00:00,121.21,121.23,120.97,121.00
2007-02-14 14:00:00,121.01,121.12,121.01,121.12
2007-02-14 15:00:00,121.12,121.12,120.61,120.72
2007-02-14 16:00:00,120.73,120.86,120.71,120.80
2007-02-14 17:00:00,120.79,120.84,120.77,120.78
2007-02-14 18:00:00,120.76,120.82,120.73,120.73
2007-02-14 19:00:00,120.73,120.78,120.70,120.75
2007-02-14 20:00:00,120.75,120.78,120.70,120.72
2007-02-14 21:00:00,120.72,120.79,120.71,120.77
2007-02-14 22:00:00,120.76,120.78,120.70,120.70
2007-02-14 23:00:00,120.70,120.73,120.22,120.31
2007-02-15 00:00:00,120.31,120.32,120.15,120.19
2007-02-15 01:00:00,120.18,120.20,119.80,119.94
2007-02-15 02:00:00,119.94,120.15,119.92,120.11
2007-02-15 03:00:00,120.11,120.15,120.10,120.12
2007-02-15 04:00:00,120.12,120.12,120.06,120.11
2007-02-15 05:00:00,120.12,120.15,119.96,120.00
2007-02-15 06:00:00,120.00,120.09,119.89,119.94
2007-02-15 07:00:00,119.94,119.96,119.80,119.92
2007-02-15 08:00:00,119.92,120.18,119.88,120.09
2007-02-15 09:00:00,120.09,120.34,120.09,120.25
2007-02-15 10:00:00,120.25,120.33,120.06,120.06
2007-02-15 11:00:00,120.05,120.15,120.03,120.08
2007-02-15 12:00:00,120.08,120.10,120.01,120.09
2007-02-15 13:00:00,120.09,120.17,120.02,120.08
2007-02-15 14:00:00,120.07,120.08,119.83,119.94
2007-02-15 15:00:00,119.94,119.94,119.38,119.48
2007-02-15 16:00:00,119.47,119.57,119.37,119.52
2007-02-15 17:00:00,119.51,119.51,119.35,119.47
2007-02-15 18:00:00,119.47,119.55,119.39,119.44
2007-02-15 19:00:00,119.44,119.50,119.36,119.36
2007-02-15 20:00:00,119.36,119.36,119.18,119.19
2007-02-15 21:00:00,119.19,119.25,119.15,119.24
2007-02-15 22:00:00,119.25,119.29,119.19,119.19
2007-02-15 23:00:00,119.19,119.37,119.19,119.37
